dataset,treatment,budget,time
rs-6d-c3_obj2,SimAnnealing,9,149.2206
rs-6d-c3_obj2,UCB,15,558.3681
rs-6d-c3_obj2,UCB,40,906.5656
rs-6d-c3_obj2,UCB,9,349.7013
SQL_AllMeasurements,b2,15,723.5968
SQL_AllMeasurements,b2,40,1129.6875
SQL_AllMeasurements,b2,9,535.1071
SQL_AllMeasurements,base,,33.2389
SQL_AllMeasurements,bonr,15,735.1441
SQL_AllMeasurements,bonr,40,1105.3013
SQL_AllMeasurements,bonr,9,542.8324
SQL_AllMeasurements,EI,15,684.3573
SQL_AllMeasurements,EI,40,1144.9338
SQL_AllMeasurements,EI,9,457.8913
SQL_AllMeasurements,ExpProgressive,15,728.4139
SQL_AllMeasurements,ExpProgressive,40,1105.7128
SQL_AllMeasurements,ExpProgressive,9,541.1768
SQL_AllMeasurements,PI,15,675.1688
SQL_AllMeasurements,PI,40,1129.1199
SQL_AllMeasurements,PI,9,463.5534
SQL_AllMeasurements,progressive,15,733.3481
SQL_AllMeasurements,progressive,40,1097.3295
SQL_AllMeasurements,progressive,9,538.2813
SQL_AllMeasurements,rand,15,35.3216
SQL_AllMeasurements,rand,40,34.3029
SQL_AllMeasurements,rand,9,33.8005
SQL_AllMeasurements,SimAnnealing,15,725.9815
SQL_AllMeasurements,SimAnnealing,40,1099.9377
SQL_AllMeasurements,SimAnnealing,9,536.8432
SQL_AllMeasurements,UCB,15,666.9065
SQL_AllMeasurements,UCB,40,1127.6731
SQL_AllMeasurements,UCB,9,444.3713
SS-B,b2,15,26.3268
SS-B,b2,40,60.6599
SS-B,b2,9,19.1224
SS-B,base,,0.3025
SS-B,bonr,15,28.4279
SS-B,bonr,40,65.1198
SS-B,bonr,9,19.6345
SS-B,EI,15,102.3929
SS-B,EI,40,223.617
SS-B,EI,9,57.6819
SS-B,ExpProgressive,15,37.3387
SS-B,ExpProgressive,40,76.8472
SS-B,ExpProgressive,9,27.889
SS-B,PI,15,97.6081
SS-B,PI,40,231.3184
SS-B,PI,9,55.8221
SS-B,progressive,15,42.8473
SS-B,progressive,40,79.998
SS-B,progressive,9,33.0444
SS-B,rand,15,0.5159
