dataset,treatment,budget,time
SS-D,base,,0.4314
SS-D,bonr,15,30.77
SS-D,bonr,40,79.4636
SS-D,bonr,9,18.9871
SS-D,EI,15,307.0993
SS-D,EI,40,714.5827
SS-D,EI,9,154.2538
SS-D,ExpProgressive,15,41.0846
SS-D,ExpProgressive,40,90.6133
SS-D,ExpProgressive,9,26.4975
SS-D,PI,15,307.2835
SS-D,PI,40,733.9011
SS-D,PI,9,190.5676
SS-D,progressive,15,48.1601
SS-D,progressive,40,96.2206
SS-D,progressive,9,32.7955
SS-D,rand,15,0.4333
SS-D,rand,40,0.9345
SS-D,rand,9,0.7531
SS-D,SimAnnealing,15,30.2174
SS-D,SimAnnealing,40,64.8033
SS-D,SimAnnealing,9,24.266
SS-D,UCB,15,303.5111
SS-D,UCB,40,624.7063
SS-D,UCB,9,152.1077
SS-E,b2,15,81.552
SS-E,b2,40,174.9435
SS-E,b2,9,39.0205
SS-E,base,,1.2313
SS-E,bonr,15,72.302
SS-E,bonr,40,183.6637
SS-E,bonr,9,45.2946
SS-E,EI,15,898.705
SS-E,EI,40,1654.9856
SS-E,EI,9,488.9408
SS-E,ExpProgressive,15,101.0406
SS-E,ExpProgressive,40,231.255
SS-E,ExpProgressive,9,58.049
SS-E,PI,15,853.7492
SS-E,PI,40,1727.5573
SS-E,PI,9,455.5544
SS-E,progressive,15,105.3865
SS-E,progressive,40,215.0671
SS-E,progressive,9,68.7034
SS-E,rand,15,1.301
SS-E,rand,40,2.122
SS-E,rand,9,1.1341
SS-E,SimAnnealing,15,70.8962
SS-E,SimAnnealing,40,220.5742
SS-E,SimAnnealing,9,46.7337
SS-E,UCB,15,831.0958
SS-E,UCB,40,1645.2468
SS-E,UCB,9,489.3778
SS-F,b2,15,29.88
SS-F,b2,40,76.8399
SS-F,b2,9,17.9474
SS-F,base,,0.3981
SS-F,bonr,15,33.4112
SS-F,bonr,40,76.0119
SS-F,bonr,9,21.9687
SS-F,EI,15,257.1111
SS-F,EI,40,715.8574
SS-F,EI,9,169.8613
SS-F,ExpProgressive,15,40.1566
SS-F,ExpProgressive,40,84.3624
SS-F,ExpProgressive,9,29.4715
SS-F,PI,15,332.4874
SS-F,PI,40,710.0208
SS-F,PI,9,176.1565
SS-F,progressive,15,47.4308
SS-F,progressive,40,93.851
SS-F,progressive,9,32.3431
SS-F,rand,15,0.6058
SS-F,rand,40,0.8429
SS-F,rand,9,0.4007
SS-F,SimAnnealing,15,38.2419
SS-F,SimAnnealing,40,73.6403
SS-F,SimAnnealing,9,21.5135
SS-F,UCB,15,324.6082
SS-F,UCB,40,660.3447
SS-F,UCB,9,178.9621
SS-G,b2,15,24.5261
SS-G,b2,40,76.3787
SS-G,b2,9,18.9799
SS-G,base,,0.4372
SS-G,bonr,15,32.032
SS-G,bonr,40,82.7591
SS-G,bonr,9,17.8783
SS-G,EI,15,325.2138
SS-G,EI,40,665.8651
SS-G,EI,9,185.3134
SS-G,ExpProgressive,15,38.7633
SS-G,ExpProgressive,40,83.106
SS-G,ExpProgressive,9,23.2186
SS-G,PI,15,297.4882
SS-G,PI,40,700.703
SS-G,PI,9,176.8696
SS-G,progressive,15,45.9678
SS-G,progressive,40,94.3284
SS-G,progressive,9,31.5305
SS-G,rand,15,0.6699
SS-G,rand,40,0.6701
SS-G,rand,9,0.6494
SS-G,SimAnnealing,15,34.7612
SS-G,SimAnnealing,40,85.7
SS-G,SimAnnealing,9,25.9391
SS-G,UCB,15,325.6442
SS-G,UCB,40,693.2649
SS-G,UCB,9,176.7109
SS-H,b2,15,43.6402
SS-H,b2,40,105.188
SS-H,b2,9,21.4446
SS-H,base,,0.7672
SS-H,bonr,15,40.5224
SS-H,bonr,40,100.9233
SS-H,bonr,9,22.9523
SS-H,EI,15,410.6979
SS-H,EI,40,939.3795
SS-H,EI,9,243.7159
SS-H,ExpProgressive,15,50.2208
SS-H,ExpProgressive,40,108.143
SS-H,ExpProgressive,9,34.3974
SS-H,PI,15,416.4788
SS-H,PI,40,926.0428
SS-H,PI,9,240.7333
SS-H,progressive,15,50.0209
SS-H,progressive,40,77.2011
SS-H,progressive,9,38.6828
SS-H,rand,15,0.6494
SS-H,rand,40,1.0797
SS-H,rand,9,0.8992
SS-H,SimAnnealing,15,50.058
SS-H,SimAnnealing,40,107.7257
SS-H,SimAnnealing,9,28.8715
SS-H,UCB,15,425.2958
SS-H,UCB,40,861.1157
SS-H,UCB,9,235.9463
SS-I,b2,15,117.4831
SS-I,b2,40,333.2959
SS-I,b2,9,81.411
SS-I,base,,2.4766
SS-I,bonr,15,148.697
SS-I,bonr,40,325.2207
SS-I,bonr,9,80.0381
SS-I,EI,15,1175.1861
SS-I,EI,40,2245.298
SS-I,EI,9,746.3474
SS-I,ExpProgressive,15,149.7056
SS-I,ExpProgressive,40,347.515
SS-I,ExpProgressive,9,87.8382
SS-I,PI,15,1179.6991
SS-I,PI,40,2166.1314
SS-I,PI,9,696.3139
SS-I,progressive,15,150.364
SS-I,progressive,40,362.8594
SS-I,progressive,9,77.7802
SS-I,rand,15,2.6709
SS-I,rand,40,2.6868
SS-I,rand,9,2.785
SS-I,SimAnnealing,15,146.6068
SS-I,SimAnnealing,40,375.2182
SS-I,SimAnnealing,9,68.1707
SS-I,UCB,15,1202.2753
SS-I,UCB,40,2238.6623
SS-I,UCB,9,722.4617
SS-J,b2,15,242.0527
SS-J,b2,40,652.4715
SS-J,b2,9,95.996
SS-J,base,,3.9799
SS-J,bonr,15,253.2819
SS-J,bonr,40,658.8329
SS-J,bonr,9,102.5893
SS-J,EI,15,2954.6507
SS-J,EI,40,6668.4998
SS-J,EI,9,1560.5178
SS-J,ExpProgressive,15,235.308
SS-J,ExpProgressive,40,667.7172
SS-J,ExpProgressive,9,144.3828
SS-J,PI,15,3039.6343
SS-J,PI,40,6599.5961
SS-J,PI,9,1505.9591
SS-J,progressive,15,279.8575
SS-J,progressive,40,594.3473
SS-J,progressive,9,121.1594
SS-J,rand,15,4.0858
SS-J,rand,40,4.5067
SS-J,rand,9,4.5812
SS-J,SimAnnealing,15,291.8363
SS-J,SimAnnealing,40,613.0678
SS-J,SimAnnealing,9,134.9567
SS-J,UCB,15,2965.4714
SS-J,UCB,40,6630.4578
SS-J,UCB,9,1619.4988
SS-K,b2,15,144.3532
SS-K,b2,40,534.178
SS-K,b2,9,68.0443
SS-K,base,,2.8133
SS-K,bonr,15,204.4252
SS-K,bonr,40,501.563
SS-K,bonr,9,72.2256
SS-K,EI,15,2384.38
SS-K,EI,40,5595.6224
SS-K,EI,9,1254.5736
SS-K,ExpProgressive,15,143.3911
SS-K,ExpProgressive,40,446.5208
SS-K,ExpProgressive,9,82.9841
SS-K,PI,15,2374.8973
SS-K,PI,40,5626.7963
SS-K,PI,9,1331.28
SS-K,progressive,15,154.2099
SS-K,progressive,40,527.5456
SS-K,progressive,9,77.5901
SS-K,rand,15,2.6799
SS-K,rand,40,2.7716
SS-K,rand,9,3.2717
SS-K,SimAnnealing,15,206.5545
SS-K,SimAnnealing,40,525.5475
SS-K,SimAnnealing,9,83.6004
SS-K,UCB,15,2372.1715
SS-K,UCB,40,5504.1971
SS-K,UCB,9,1297.7311
SS-O,b2,15,130.9391
SS-O,b2,40,441.6512
SS-O,b2,9,65.0585
SS-O,base,,1.0837
SS-O,bonr,15,149.4277
SS-O,bonr,40,423.1149
SS-O,bonr,9,61.3045
